date,usdngn_official,source_stamp
2026-09-14,1327.101379,"Mon, 14 Sep 2026 00:02:31 +0000"
2026-09-15,1326.465215,"Tue, 15 Sep 2026 00:02:31 +0000"
2026-09-16,1328.880494,"Wed, 16 Sep 2026 00:02:31 +0000"
2026-09-17,1327.882853,"Thu, 17 Sep 2026 00:02:31 +0000"
2026-09-18,1330.266485,"Fri, 18 Sep 2026 00:02:31 +0000"
2026-09-19,1329.829645,"Sat, 19 Sep 2026 00:02:31 +0000"
2026-09-20,1335.694724,"Sun, 20 Sep 2026 00:02:31 +0000"
2026-09-21,1332.834401,"Mon, 21 Sep 2026 00:02:31 +0000"
2026-09-22,1330.691027,"Tue, 22 Sep 2026 00:02:31 +0000"
2026-09-23,1328.371271,"Wed, 23 Sep 2026 00:02:31 +0000"
2026-09-24,1326.871066,"Thu, 24 Sep 2026 00:02:32 +0000"
