published,source,title,url,query,first_seen
2026-08-14,Reuters,"Nigeria's Dangote refinery plans retail-focused IPO, no foreign listing for now - Reuters",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPRzlMRUVMbVgySUViVkJnejJQbXZJVE91SlpQbFZFaWhOdmx5MTJEQlNQelJEMUNuVzc0d3Y3ZEZ4dlJqbzVtV1huQzRnejk4RWVDbHJ4dlZUbkwyaEFfMUJuOGd4NGZSSGdVLXZ6ZHhnRlgtajNaZDREOHk3c1VEeE5XLWI1VGQxUWxpWGhxUll0X19hWEY2dXg0ejhWNFBmVExLc094cjdkQXJFWW1JUEpZM2ttZkd0QTNQM0hfS3JJTEE?oc=5,"""Dangote refinery"" IPO",2026-09-23
2026-08-18,Reuters,Nigeria's Dangote Refinery secures $1 billion underwriting ahead of IPO - Reuters,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPZnpMYThTVk1DbmJreWdWNGhHWWo2dE5JNzJpby1pRXA4b0xWSVNHOGRiT2N0OXdGb1BLc2VZT19Qa3RaLUYzUFRaLW9tZDRjZ29LUmVRTXUzc2tYT2xHX2tKQm5KYjFveFFoOUNFVER5dWJqZXFWMnlhbUtHLWg3aGtuY2dRdWhJVi00aXc1cWVDZUdacVNjRnZDV1hsWlliRkpXYUZ2dlRCRUVoM21aRm9PNGNNS2ZDUGJjSnJ0SldLREhzUG1kMQ?oc=5,"""Dangote refinery"" IPO",2026-09-23
2026-08-19,The New York Times,How the Iran War Made Africa’s Richest Man Even Richer - The New York Times,https://news.google.com/rss/articles/CBMijwFBVV95cUxOdUFZa2ZkR1Naa1FIYkl6ZE9ZQTlYTTVob2ZIeGxxNlZMa1RIN1ZXSzA5NjEwUGFuTFgtMjE2RktRa2lpd0JndExteHI4OW8xcHdYQWxqTlNLRTBkTnZVX2I5ZkFIbTBic2lzV2d2Y1M4VC05UFZOVmtSel9KdzRRb1RhN2tGYUNkQk9FdndoYw?oc=5,"""Dangote refinery""",2026-09-23
2026-08-30,Vanguard News,Dangote moves against petrol importers over quality concerns - Vanguard News,https://news.google.com/rss/articles/CBMingFBVV95cUxPS21LUU12c1RrS2Z4QmdEVWh0N0FFaHFtUXdVak1DOUx1cktKSXV3alNrWHZQTWFvUi1ac1I4VGlfRnF0bUpDQ3dTZ1hKekVESzZ2QXcwMy1HbFE3M0NRT2NqTmktdDZieGV5UHF2WV9GbnJSUjNwbDBuOXN5N1U2bEsxdVp4MUp1NzlTSGdTLUh6dlJHamhyakRCYkFNQdIBowFBVV95cUxQWEw2dDVYWGIwOWpDLVFwTXVNMUhrRENadThwWjlXc1ZuckZnYm5BQ0V0UDljRXNyNFNuTHpLZ0lic2wxcnlWWTlEczFZbUVhanN5OU1xQnZ3cnVKNmZoUGtrWnBVVmdlNmtfbjVyYkUzNlJja1VPSy1ubHZqRUxDZVVQdndGbl9fVkF3UmlhdFVJUkdtYVFaQWVxbl92cm41ZnZZ?oc=5,"""Dangote refinery""",2026-09-20
2026-09-02,businessday.ng,"Dangote Refinery to halt PMS sales to Matrix, A.A. Rano, other licensed importers - businessday.ng",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNUGVSU0k0YXBNZnBZSTVqa0hJTThFY1ZjWUlZc2VFV2Q0VDh4NDRzT2IyWnIxd2pYcHJSUlRVdG5SNUJqVFByM3drU0NTNW1qTmdUNEphaWFINTFSSjBkX2NYSkN1bHVXbVRmVE14NEc0M2hfOVg2M3U2bkRuUW1ub1JlSzJFOUNQWjF0cE55M20yUWVrcVRyQWlmLUtUTF91Mmhra2duSDBvbFl2WjdNWkNqVnB5R08x?oc=5,"""Dangote refinery""",2026-09-21
2026-09-04,Business News Nigeria,Dangote Refinery IPO set for N525 per share - Business News Nigeria,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOOGhPcTF5MWlLZGQ3TTlfYzZjTXFqb0dDalFsUWhCQkgzNmJON09mZVFyZDEwMEt5RGJ5ZVNjT2RlRWxMWXp4OVhsNGo3NU42SzdEbktZYWJfU3ppV0thVmEwREM1RnE5aU4tY2R1RDgtVTJnR3NVZ29BangxVENfcGtZSXFQZUtRVjlR?oc=5,Dangote refinery shares,2026-09-14
2026-09-07,Bloomberg.com,"Adnoc Said to Be in Talks for Thailand, Dangote Refinery Stakes - Bloomberg.com",https://news.google.com/rss/articles/CBMiswFBVV95cUxPX2lOZ1hITFhnM0d4c19PV05LaVlfeE0tcjBsSlMwYTBSVWc2bXV2cTlTZ0xpY1h1d1RpLWg3Y1A5NVhBWFNYMzUwak9sdFcwSUJnSEVaU2xxMkcxQjZSVmRzdjRSUVRRRGpPV0dWdG0xTTV0Z0ozZzRSTzdSREtTWDU2dnZScHRTalZYVTB2Y0xJTEU5Z08wNjVWdmtOYUV1Qm1oU2hNTHRrR3JXS1JaLWZ6UQ?oc=5,"""Dangote refinery""",2026-09-14
2026-09-07,The Guardian Nigeria News,"Dangote refinery IPO opens with N5,250 minimum investment - The Guardian Nigeria News",https://news.google.com/rss/articles/CBMilAFBVV95cUxQUkRheDRJQk80bGp4eTJkTjhveXhuWGpfZ1RPY1puOWJ1Yl9QYWp3eklSZGxWUWlIeXRtUFNyek83RTZUeUZodVJfR0lmbW90M1pja3RDSWRySmtCOEV3UVhmMmhMbnVycHloLVBWOHRqclRnYzJseDhNZDMtd2QzZmJlOHdYVUNyazNKTVg1OXp4Wm9k?oc=5,"""Dangote refinery""",2026-09-19
2026-09-07,thecable.ng,"Dangote refinery sets IPO minimum subscription at N5,250 - thecable.ng",https://news.google.com/rss/articles/CBMikwFBVV95cUxNVFlFQ3NjSjdaTGR1d1RaWFhydGFob0QwUzJlQ3FFWmRQQkxPcV9vQm9scVl0ZFNvZGFXd2xvWHZJUmtzM3E1VFpOUXNrYlUwaHphRG0xc2JQUFUxblNpUDUzY3pZRGdMLXRET1picUNmSUxiWFNGOXZybXRmTHFPeW1nVzJWU0FjdkVJd0pNQjFzSmM?oc=5,"""Dangote refinery""",2026-09-19
2026-09-07,The Nation Newspaper,Dangote Petroleum Refinery’s N2.15tr IPO opens Monday - The Nation Newspaper,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNY2lMLXhwVTkwUHRFT2tGemNxVVBGRkVINTlqN0dWUU9CVU1nSU5kMjd1amNSTU0wMlNsbERwa0NmMGFmM0N6ZXg4QkRkVmZuMl9jWXNFQnpwUnVRVXRCVE5xY3NaTF9leldMbHNfd2pVVUYyRkk3d0pUVUxWN2lMOXpCSGlYejI3MWhj0gGQAUFVX3lxTE1hOFNydHRLVTdmRWd1c1JLTlpEVXdFbUc4RnlIMm5iT0lmdTBmY2Y1VDV3dngyaHdJYjZJZUtUY3NRem9YaWE0M0N5WHl6RWM2ZlhMc2E2S1l4QURpME1zUzN0d05RYXp5SFIzODJYNW5LQXdJWm80eTF2Z0o1S083Q1M1UW5kT2kzUGk4RV9PSQ?oc=5,"""Dangote refinery""",2026-09-16
2026-09-07,Reuters,Nigeria's Dangote refinery plans $14 billion expansion as it signs IPO documents - Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxQREJDbDg4SElmSEppS19sS2FtQ0NsNUtzSktacnNfbnl0Y0dLRlBhSlpwQ1NJSV9JX1FFWkp0WXhFcEVTUnViV3RZR1A5OHAzZTRKbkhEMDQ4ak5xREVqMlNJMm02SmMtMGdTaXJqdjJLMmtOQjRuMkdKSVZWLVl3ckxnYjZCQUhLNGRuMndUcE9ZLVA3R3QxTjNvQ21FQnNHdE4wZXU3VWp6a0ljTERtbDZrbjV1b09VZEE?oc=5,"""Dangote refinery"" IPO",2026-09-17
2026-09-07,The Nation Newspaper,STEP-BY-STEP: How to buy Dangote Refinery shares - The Nation Newspaper,https://news.google.com/rss/articles/CBMihAFBVV95cUxPYjhobERCa0Z5WWRzYmJpVjctSzUwSGpmSGstcjV1Z1oxM3c3WGtncGtQWWlyMG9tVXBhRW5MOUM4WWozQVBBdW9rd1RPeEx4TjVvekJ4dWJ0RXJIYU5vZExwTkNkRzJaanRWMnJmVVJDakF3Vzh5ZEg4RUlYSXVzVTJibzHSAYoBQVVfeXFMT2QyVk0zSzVMV0Z3VEdJQ3lvNTZsTlJpTnFqLWRZbUxRT3pmai0wWjdiZUpKdG8xTjhXalB4VEVpU1luZTN0X0lIVnFBbEg3RzhSSUFCWXRPcEZlenV0WGdQcFEtamtsM3dTWndKN2kwZEdmcTg1YWd3R1JVak94c2hOd3Rjd1Zlaldn?oc=5,Dangote refinery shares,2026-09-14
2026-09-07,Channels Television,Dangote Refinery Sets ₦525 Per Share For $1.6bn IPO - Channels Television,https://news.google.com/rss/articles/CBMingFBVV95cUxPNkJxSVdveDhHSmlzT1IxTUJxVDYyNDVyOFZhSGZmOFJiaXhfOTJ2RnRvMUFKQzBHVmI5UnVhS3VKV2ZMN0V0M25aY1ZZODB0MzFZVkFzLVhFUFIxNlQ4Q2l5Rm1ndlN2UmFHR3dBYXZxQXpSblRBejZieDhCWFJRdXZOcC11ZG1jOFpRdHNLM0I2OGFTX3JPTkV6WDkxQQ?oc=5,"""Dangote refinery""",2026-09-14
2026-09-07,Channels Television,[VIDEO] Dangote Refinery Set For IPO Signing Ceremony In Lagos - Channels Television,https://news.google.com/rss/articles/CBMipwFBVV95cUxNcFQwZlJoUW5GaERPekoxWk1iNFFsY1ZUQUYzU1kyQ192ZFZzeS1yMWhWYkFyRnlINWpOTEh3VkVuOGxhWnpxOFJTUG53MVNwcndycnBYenlmUWNtamliU3VxN1ZqMGZZLVotUF9mV2xwYXllT1NydXByQ09CSVlyZ1pzZ2k1N3dYU3IzSGRnZWZONFBhUmkyM0N0aWZIQV9KWGlKN1RYWQ?oc=5,"""Dangote refinery""",2026-09-14
2026-09-07,Premium Times Nigeria,UPDATED: Dangote Refinery sets minimum subscription for $1.6 billion IPO - Premium Times Nigeria,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPZ2VtYnVEYTVLV0QzR1pZMFJlZTZxcFQtWklJQ3pFNFZQWVdmeEZlYllUd2xqdHZnNGZqbkhrRkZZeFhpWUE2MmEwTnA2Z0R5X0kwU0FTTFRoWXZMWDNVWTYyOVlrR0duOW95bjZkWkJGTC16QkRwbE00M3ZDNDdCZVo4Y1dNMGlRWlNQQzhrZUZFVEpFTThSa011MnhtZHk1aGpFOU9jeGtDWnNIejhxTlBCUm9ZYm5pNVRFUGdEWDdJNnNIYTR5ODNhaUJsSzNFZ1E?oc=5,"""Dangote refinery""",2026-09-14
2026-09-07,BBC,Dangote refinery shares: Dangote Refinery IPO signing ceremony go benefit Nigerians - how? - BBC,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9FU1ZZdWgza0FVZ3ozMDRmaU1VZWN5WTVpT0NxVmdFRENfNlV3WDBLLUxydE1hNDBZSm9ncXo1YmRzUDRxazQ2cHNaVnhKNGpqYkdlbTdfT2NlX3Rv0gFiQVVfeXFMTnFFRmc5eXNZbHVUYnBUOFFmTmZMOXBncE9vQmRJUlJfdE5uWFVlYTB1Q2w1TVp2ajN6dWxBN0ViZzUzYmJpZ28zNmVjdHdhbGpYeDNjY1FqLU5iMmF0bUxCVEE?oc=5,Dangote refinery shares,2026-09-14
2026-09-08,Punch Newspapers,Step-by-step guide to buying Dangote Refinery shares - Punch Newspapers,https://news.google.com/rss/articles/CBMifkFVX3lxTE9jMndIU0VZUUsyUDRlS25MS1RLZzZzUU1iaGNXdHhUbUp6akVVdF9nc09KcWdLeVFyY3ZoYzl4ZVpiVEUtdXBGS29lSGwxQk1ETlBRSmVyZWdsOTcwYkxOZEh5YzYyQkZjYjU0QURBcGRqcFlmdVIwZnhiQVdzQQ?oc=5,"""Dangote refinery""",2026-09-14
2026-09-08,Channels Television,Why The Dangote Refinery IPO Represents A Compelling Investment Opportunity - Channels Television,https://news.google.com/rss/articles/CBMitAFBVV95cUxNNmF3NVY3VDI0ZUIzdTA2Z2pfQmxiZVEyLWQtQXJoR1lIUjBMMG81ZHhmWVpOWnU1a05OdUVRTW9wZkZtNFR3bGZwc3p0eWdxOXg2bGJfdkJyWHR2REE0ZV9SZm9Ra3dxUzlLUFRXd2VGeWN6bEI1MWlyMy1nT0dpUmlwYlVzTlBaVGNINVdmNHV0XzhpMU5FTnVwWlJxd0phZ2xnZWotZ1M2am11b2htV1FPLTQ?oc=5,"""Dangote refinery""",2026-09-14
2026-09-08,CNBC Africa,Nigeria’s Dangote oil refinery signs IPO documents before landmark share sale - CNBC Africa,https://news.google.com/rss/articles/CBMirAFBVV95cUxQMlR4eFIyajdvR01zSkxmZjNOdFZrRmREa0h2dnV4Z1YxRlh1d0FNbUMwTW8tN3hDWlRwd0pCWE1tZkl0aU1vSnNZTk9jVTlzUHBxaDVHLVlxV2pTMTg3YURVNUQ1QTRVMGZGY1lMVUtuaWJIaVlSNmpGYnl6OWVKaENkd2JlZDM0bE03a3VaYmVEaXNnWVYyOEdSeGxrQXdobmd2S1JzbDZ0TnJk?oc=5,"""Dangote refinery"" IPO",2026-09-14
2026-09-08,Punch Newspapers,EXPLAINER: What happens after Dangote Refinery shares are listed - Punch Newspapers,https://news.google.com/rss/articles/CBMijAFBVV95cUxNOGVCcjVJSFBWVWVBaFY5cTVtRGlMMV9KaDltMHZRdDYxNkxhZWNjOWxmRWlIVmxUM3UtM0daRjh3RktpY2I4aWZqZV8wOHhpck5mTkg2MEtEZVNqNnNwUEtDYmhrZWNjOHZULWEyMjVyNXV0VUQwaGc3eTA5bDdfMFVpenJ4cDlBSHRjWA?oc=5,"""Dangote refinery""",2026-09-14
2026-09-08,Vanguard News,"Dangote Refinery IPO: 10 steps to buy shares for N5,250 - Vanguard News",https://news.google.com/rss/articles/CBMilAFBVV95cUxOWWc1WXBiQkN3Y2ZSbFJUbGRmczZkZkJXMENFMUo0QW9QTHhaWTkzYUVtSTJ1RHRfdkZzSURSb21zYld1amQ3UW04dVMzX3FlS3Etc2pXend6UzVzV20ta09IMThuTFlBRDJRc0N1SE5zem5lT2hMeWNWSEswbjdZS1VlR1dnODJGSERHbjg1OWRuYTJS0gGaAUFVX3lxTFBpZHhwLXg2bGU3cXpRall0SW9ZQzM1VEFqZWJxbVZpQW5oRkRYdWNScl8xdndXRGRoaFZuWHlUWW1fN3RLYXBVSElGeWR4UTQzNUlOUTRXU1BrOW5oWjZKWXozM2g3b3BDak1sWUVUSXpDOEpNdnZpRjZpN1h2dFlaSEZBcnFvWnRzSlJwSVRhMkhpNm1jMjFZeGc?oc=5,"""Dangote refinery""",2026-09-14
2026-09-09,Condia,Fintech platforms where Nigerians can buy Dangote Refinery IPO shares - Condia,https://news.google.com/rss/articles/CBMidkFVX3lxTFB5VzNrc2lsVE1uVXlIMjFNTmtiMC1KdEw1NWN3ZEYtc21SSFc3cHFDdEpiSWt4R2NlQS11MFBhckpoZkItSE5EVDRuU1dneXRYSmlHVnVNSjFyemVWUHQ5ckR6T3VfWl91d1lsX2o4QWgyekNRR2c?oc=5,Dangote refinery shares,2026-09-14
2026-09-09,Business News Nigeria,How to participate in Dangote’s IPO: Step by step guide - Business News Nigeria,https://news.google.com/rss/articles/CBMie0FVX3lxTFBVM2VSZmMzeHpaeDFpbGxINEVZU09SS05neExLTGtRdEhtVGhaeFBEMTFvMEJwTG1QSVBEeEVDcDhDZVBFcEJadTNBS1UwSzlpWnlpeUh2LVdTUGtVRGtEQVFNcExOd1JSNURpWjMxZ2xnNUlQcTVMUzhoUQ?oc=5,Dangote refinery shares,2026-09-14
2026-09-09,Business News Nigeria,Dangote Refinery’s record N19.13trn H1 revenue sets stage for Africa’s biggest IPO - Business News Nigeria,https://news.google.com/rss/articles/CBMitAFBVV95cUxOY01SNnZSZi1najVZVktfd0o4M3BnamVxY1ljY2VDcFJ0SFgxWGJidE1HVGgyV2FEdm9tVTF3VjBPMzVhY2FoUUZpMUdrUUQ0UmI2UEUzbkh0dlRjOXNfSEt3cWdqWGtzdV9vYTQxNHgwNGdFUDhBU3dvM0laVjVhYkwxbkNIOUVSQ2h0QVVTMGQtVFE3ZlBDNkxDclNpN0RGcUVIejV0YzlBVmktbDV2ZHl2WUs?oc=5,"""Dangote refinery""",2026-09-14
2026-09-09,Dabafinance,How to Invest in the Dangote Refinery IPO Outside Nigeria With Daba Finance - Dabafinance,https://news.google.com/rss/articles/CBMif0FVX3lxTFBEY0dKRGp2UHFnZVA2dmxjX19vZUZjQWFMTG80RkxRaUQ4SnFjbHR3SXhmajh3WjAyQVBXYTAxOE9senJNcXlFMmJ1MjB3VVVUX2UwSV9qSGp4WEpOYlNOYk84Nk1SZ3RweHI4bnhWTUJYS2JabUlzd2JvMVVpc2s?oc=5,"""Dangote refinery"" IPO",2026-09-14
2026-09-09,Channels Television,How To Buy Shares In Dangote Refinery — Chapel Hill Denham - Channels Television,https://news.google.com/rss/articles/CBMimwFBVV95cUxPN2hMVVhTU1pNSWx1VzQxdHVGVVFxZzZmQklRQkgtNm1aR3dWTXNVeDBudGJMUFdMZUduamVYb2tMSHBnUUJ4ekNqdlJ2MjNVQWxyV0pfLXhVNGZXZGdrYzhSSU1CN1hYX1NNc1RlajlEaUJpSlFQWXk0QzBSaUpEUDBUclA4SzlpSk41cmNpNThxamN3WG9aRi0wQQ?oc=5,"""Dangote refinery""",2026-09-14
2026-09-09,Vanguard News,Dangote Refinery swings to N2.55trn profit in six months - Vanguard News,https://news.google.com/rss/articles/CBMimAFBVV95cUxNbmphSFdMSGd3TkhwRzZEbXdpTGFSQXBjTjJsRS1hVzZWa2hSZGMyNlV6QXZ5WU5rYmlCb2p5UnEzSUtmeXcxMmVUYTNsRllSWTlZaVBVYnF6MzJjM2VVSU93UlQ0YWVYclUxblpjVGYzOFF0RUMyV2hDMTRjNHVGRl9BbGl3Q2JKUmxGVk9DMkswMnhMVEdHNNIBngFBVV95cUxOdWNBckoyTl9PckRsS0M3dW5zeGpsOWJmUUgydklSYlNBZHl2dGZzbVBmemp4bG5NcUlxdFlrLTVvcTVNVHc1ZWtrRHBYeFgtbUQyYVhwRnFlS1BpTWVRN25aYWNFQUdXTkhLbG55WGRyT1Z5OW00NURmbXhTdjJDbU1TWDdwRzNfT25ua3V4QXVKMDViaXlvcE16Ujk2Zw?oc=5,"""Dangote refinery""",2026-09-14
2026-09-09,TheCable,Dangote refinery IPO: When Nigerians become owners of their own oil wealth - TheCable,https://news.google.com/rss/articles/CBMinwFBVV95cUxQX2RlbGFzN2luWHQ4NGs1MmltTWNVYllJeElkM0p6V0hJV2ZWRVhwTDgxYU9MLUpYMEMyQXlPMktvUkJ1ZU05WmM0WURrQ0QzajQzR3FWRW93aDFmZEhlQXlnS29zQkRxY1Z6SVpKWjZNc0Uzek9FVWllZ20zUEY3YnRxQk9jMVZSaXAtbzhpYVhYMjdsM0tEaDloOUQ5bFE?oc=5,"""Dangote refinery""",2026-09-14
2026-09-09,Dabafinance,Can a Muslim Invest in the Dangote Refinery IPO? - Dabafinance,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPLVBoMDBKbDdfSWpuOG9Sc3lGem5WOHVRME5Id05YdFZOTnJtTEpKeVM1VkpyYlEycHVwOVhYSDdNLTlBMWo2R0ZfbHVCdVIyMVVDVHpRZ1FmcmVLWHR1dGxrZTRvWkQzS0lHVzZGREV1Q0lMc3NuVXlFVjBST1BGeEhYbExiVTRqWnVR?oc=5,"""Dangote refinery"" IPO",2026-09-14
2026-09-09,THISDAYLIVE,"Dangote Refinery Recorded N19.5 Trillion Revenue, N2.55tn Profit in Six Months - THISDAYLIVE",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNRXd4QzczWjdJSFVIQjBxSUNMTVdQeVl5R0g1RElzRmRETXFEeHN0S3REcEhoWEcwOTdYMWUybUczYzN1WHBLQ2YxZTI4TkhpV2d0Y1dDZkVqS2toR0pIbTJ5SzFnOXFPYUVBZElSSTQyS1BlOWlaMU1pQTg4cG9jdmZjSTVyRVdfRkQ2alZ0SUlwRloyOTF4bHJNNEdwLUkzcEVOR0wzcTJ6SVZLMm5iZXVzT09ZNWpz?oc=5,"""Dangote refinery""",2026-09-14
